"Occupancy","Time"
"829","2.375"
"830","2.375"
"831","2.375"
"832","2.375"
"833","2.375"
"834","2.375"
"835","2.375"
"836","2.375"
"837","2.375"
"838","2.375"
"839","2.375"
"840","2.375"
"841","2.375"
"842","2.375"
"843","2.375"
"844","2.375"
"845","2.375"
"846","2.375"
"847","2.375"
"848","2.375"
"849","2.375"
"850","2.375"
"851","2.375"
"852","2.375"
"853","2.375"
"854","2.375"
"855","2.375"
"856","2.375"
"857","2.375"
"858","2.375"
"859","2.375"
"860","2.375"
"861","2.375"
"862","2.375"
"863","2.375"
"864","2.375"
"865","2.375"
"866","2.375"
"867","2.375"
"868","2.375"
"869","2.375"
"870","2.375"
"871","2.375"
"872","2.375"
"873","2.375"
"874","2.375"
"875","2.375"
"876","2.375"
"877","2.375"
"878","2.375"
"879","2.375"
"880","2.375"
"881","2.375"
"882","2.375"
"883","2.375"
"884","2.375"
"885","2.375"
"886","2.375"
"887","2.375"
"888","2.375"
"889","2.375"
"890","2.375"
"891","2.375"
"892","2.375"
"893","2.375"
"894","2.375"
"895","2.375"
"896","2.375"
"897","2.375"
"898","2.375"
"899","2.375"
"900","2.375"
"901","2.375"
"902","2.375"
"903","2.375"
"904","2.375"
"905","2.375"
"906","2.375"
"907","2.375"
"908","2.375"
"909","2.375"
"910","2.375"
"911","2.375"
"912","2.375"
"913","2.375"
"914","2.375"
"915","2.375"
"916","2.375"
"917","2.375"
"918","2.375"
"919","2.375"
"920","2.375"
"921","2.375"
"922","2.375"
"923","2.375"
"924","2.375"
"925","2.375"
"926","2.375"
"927","2.375"
"928","2.375"
"929","2.375"
"930","2.375"
"931","2.375"
"932","2.375"
"933","2.375"
"934","2.375"
"935","2.375"
"936","2.375"
"937","2.375"
"938","2.375"
"939","2.375"
"940","2.375"
"941","2.375"
"942","2.375"
"943","2.375"
"944","2.375"
"945","2.375"
"946","2.375"
"947","2.375"
"948","2.375"
"949","2.375"
"950","2.375"
"951","2.375"
"952","2.375"
"953","2.375"
"954","2.375"
"955","2.375"
"956","2.375"
"957","2.375"
"958","2.375"
"959","2.375"
"960","2.375"
"961","2.375"
"962","2.375"
"963","2.375"
"964","2.375"
"965","2.375"
"966","2.375"
"967","2.375"
"968","2.375"
"969","2.375"
"970","2.375"
"971","2.375"
"972","2.375"
"973","2.375"
"974","2.375"
"975","2.375"
"976","2.375"
"977","2.375"
"978","2.375"
"979","2.375"
"980","2.375"
"981","2.375"
"982","2.375"
"983","2.375"
"984","2.375"
"985","2.375"
"986","2.375"
"987","2.375"
"988","2.375"
"989","2.375"
"990","2.375"
"991","2.375"
"992","2.375"
"993","2.375"
"994","2.375"
"995","2.375"
"996","2.375"
"997","2.375"
"998","2.375"
"999","2.375"
